review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person
11,"Merci à la serveuse qui a été aimable avec nous, en revanche, pour un serveur, la convivialité et la serviabilité n’était pas présente Nous avons déplacé un cendrier car il nous gênait et vu qu’on est non-fumeur le monsieur l’a mis sur un …",4,4,,,,,,,[''],2025-08-01,
12,"J’aime le design des jolies tasses et assiettes.
Le café est charmant et leur chocolat chaud est riche. …",275,5,,,,,,,[''],2025-01-01,
13,"Café historique au chocolat chaud viennois unique
On se plonge dans l’histoire parisienne d’une brasserie iconique
Faut venir tôt pour avoir une place sinon l’attente est relativement raisonnable",147,5,,,,,,,[''],2026-01-01,
14,"Beaucoup trop cher pour ce que cest
Cappucino a 9euros. Tasse minuscule , meme pas bon.
Omelette a peine passable …",18,2,,,,,,,[''],2026-02-01,
15,"Franchement, à part la réputation, ce café n'a rien de spécial...il y a que des touristes..lieu à visiter...
#bookingparistransfer",5,4,,,,,,,[''],2026-01-01,
16,Amabilité zéro ! Quelle expérience désagréable ce jour. Je me faisais une joie de visiter cet établissement pour la première fois. Et bien ça sera la dernière. Le serveur t’avait l’impression que tu étais venue boire le café chez lui et tu …,60,1,,,,,,,[''],2026-02-02,
17,"Nous nous sommes arrêtés au café de flore avec mon ami pour boire un verre.
Agréablement surpris de voir qu'il n'y avait pas d'attente, service impeccable, l'homme qui nous a servi à été au top ! …",36,5,,,,,,,[''],2025-10-01,
18,"Honnêtement je m'attendais à une expérience désagréable, un service peu aimable et des prix exorbitants mais je suis agréablement surprise. Mon serveur était au petit soin et très sympathique. Oui c'est très touristique, il y a meilleure nourriture mais j'ai passé un bon moment.",17,5,,,,,,,[''],2025-08-01,
19,"Je laisse cet avis spécialement pour remercier Stéphane de son service impeccable. On n’a jamais vu quelqu’un d’aussi souriant à Paris, encore moins par un matin grisâtre. Vous avez rendu notre expérience au Café de Flore très agréable et nous avons très bien profité de notre petit-déjeuner. Merci!",58,5,,,,,,,[''],2025-07-01,
20,"Petit groupe de 10 filles le 31 janvier 2026, pour une pause ☕️/chocolat/☕️ 🫖👌👍. Un grand merci à Vanessa pour son accueil chaleureux doté d un bel humour le temps de nous placer et ouiiiii 10 filles très peu d attente,  merci également à Gaël pour la qualité du service et l attention apporté.😉 …",14,5,,,,,,,[''],2026-02-02,
21,"D extérieur semble très sympa.
Le personnel de service est très bien habillé avec une tenue uniforme genre année 50. …",131,1,,,,,,,[''],2026-01-01,
22,"Lieu historique et symbolique mais qui n'a plus grand chose à voir avec ce que devait être un café littéraire de l'époque: hyper fréquenté, hyper touristique et hyper cher. Un croque-monsieur tout à fait quelconque, salade sans sauce, 3 …",9,3,,,,,,,[''],2025-12-01,
23,"Très belle et agréable découverte du célèbre et prestigieux Café de Flore !
La superbe façade fleurie est un merveilleux accueil lorsque l’on arrive devant. …",383,5,,,,,,,[''],2024-01-01,
24,"Le Café de Flore reste à la hauteur de sa réputation. J’ai dégusté une infusion à la menthe poivrée, fraîche et délicieuse, accompagnée d’un millefeuille divin, léger et croustillant. Le service était impeccable, avec un serveur attentionné et chaleureux. Une belle expérience parisienne !",48,5,,,,,,,[''],2025-01-01,
25,"Une découverte dans ce lieu mythique Parisien.
Une brasserie extrêmement fréquentée, l’attente a été très rapide.
On y va pas pour le calme, on est collé les uns aux autres et il ne faut pas …",9,2,,,,,,,[''],2026-02-01,
26,"Ah, le Flore… tant de bouleversements, un reflet de notre société, je crois.
La qualité et le service sont toujours là, mais le tout est assez froid et impersonnel. Et à quel prix ? …",54,3,,,,,,,[''],2026-02-01,
27,"Repas médiocre
La fameux soupe à l'oignon à 16,50€ n'avait aucun gout !
Le seul point réellement positif c'est la qualité/rapidité du service.
Serveur souriant et agréable, rare à Paris.",39,3,,,,,,,[''],2025-08-01,
28,"Café typique parisien,  j’ai pris un œuf à la coque qui était délicieux.
J’étais ravie de déguster mon œuf ou tant de personne historique sont venus avant moi de restaurer. …",56,5,,,,,,,[''],2024-01-01,
29,"Endroit très sympathique pour boire un café le matin. Serveur souriant, ce qui n’est pas le cas partout.",8,5,,,,,,,[''],2026-01-01,
30,Café typiquement parisien avec un cadre assez défraîchi que nous avons malgré tout aimé. A l’intérieur le lieu est une vrai fourmilière. Les serveurs ont une cadence folle. …,289,4,,,,,,,[''],2025-04-01,
31,"A friend said to me, “Go to Café de flore to be seen, but not for the food.” Very true words- I enjoyed sitting outside and people watching, especially seeing girls taking selfies dressed up as Emily in Paris. The cheese board was mediocre. …",245,4,,,,,,,[''],2025-08-01,
32,"Aujourd’hui, nous avons vécu une expérience charmante au mythique Café de Flore. Notre serveur, Tonny ,  toujours souriant et attentionné, a rendu le moment unique. J’ai savouré un délicieux verre en regardant la vie parisienne défiler …",27,5,,,,,,,[''],2025-09-01,
33,"Passer par Paris et ne pas s’arrêter au Café de Flore pour un lunch ou un café gourmand, c’est une hérésie!!! C’est l’ambiance typique parisienne avec un bonus “touristes” à la carte, mais ça vaut quand même la peine.
J’ai pris une excellente Salade César et un verre de vin, le combo parfait.",174,5,,,,,,,[''],2025-01-01,
34,"La brasserie de référence des grands boulevards rive gauche, l'endroit est magnifique, typique et très chaleureux... Le personnel efficace et attentionné, la carte et les tarifs sont raisonnables, le service y est rapide et soigné... Le savoir faire à la Française . Félicitations et merci 🌟🌟🌟🌟🌟 …",249,5,,,,,,,[''],2026-02-01,
35,"Établissement parisien incontournable mais évidemment touristique. Le chocolat chaud est bon, sans plus. Bonne crème brûlée mais tarte tatin immonde",44,3,,,,,,,[''],2026-02-01,
36,"Une adresse mythique de Paris.
Niveau plat: La salade de végétaux avec où il y a une tranche de chèvre…. Mais les légumes et les champignons étaient bien marinés. …",707,4,,,,,,,[''],2024-01-01,
37,"Le café que j'ai récemment visité est un endroit charmant situé dans le centre-ville. Dès que vous entrez, vous êtes accueilli par l'odeur alléchante de café fraîchement moulu. L'atmosphère est chaleureuse et accueillante, avec des murs en …",3,4,,,,,,,[''],2024-01-01,
38,"Un lieu mythique qui reste à la hauteur de sa légende.
Service élégant, ambiance intemporelle, et cette sensation unique d’être à la fois dans Paris et en dehors du monde. …",19,5,,,,,,,[''],2025-05-01,
39,"Un lieu mythique de l'intelligentsia française. Avec une atmosphère intemporelle, un emplacement incroyable au cœur du 6e arrondissement de la capitale, le café de Flore offre le cadre idéal pour un petit déjeuner typically french. Certes, …",166,5,,,,,,,[''],2025-05-01,
40,"Cette institution parisienne est un haut lieu historique littéraire, philosophique, culturel, artistique.
Beaucoup de monde, nous étions installés à l'intérieur à une petite table, …",206,5,,,,,,,[''],2025-01-01,
41,"« Un lieu légendaire à Saint-Germain, riche en histoire. On y sert un chocolat chaud parfait et des croissants succulents. Les prix sont élevés, mais l'ambiance en vaut la peine : on y ressent l'esprit du vieux Paris. »",1,5,,,,,,,[''],2026-01-01,
42,"Restaurant bien cliché parisien que j’ai testé pour accompagner une amie touriste. En tant que parisienne, j’ai adoré l’ambiance mais le chocolat chaud et la crème brûlée que j’ai commandé n’étaient pas du tout bon…. 22€ et je n’ai même pas pu tout manger. Déçue, je ne recommanderai pas ce café pour mes amis étrangers.",10,2,,,,,,,[''],2025-01-01,
43,"Le Café de Flore reste une adresse parisienne emblématique, chargée d’histoire et de charme. Le service est attentif, le cadre authentique, et l’ambiance typiquement parisienne. Parfait pour savourer un café en terrasse en observant le quartier de Saint-Germain-des-Prés. Une belle expérience intemporelle. ☕✨",20,5,,,,,,,[''],2025-11-01,
44,"Si le service était impeccable, leur tarte tatin à 15 € la part était moyenne.En fait, on  paye tout le tralala.Pour le thé à 9€, nous avons eu droit en plus  à une carafe d eau froide, petite carafe d eau chaude.On aurait aimé un peu de lait mais j imagine qu il aurait fallu le payer.Experience décevante.",17,3,,,,,,,[''],2026-01-01,
45,"Le chocolat viennois est une tuerie!!!
Merci pour le soin apporté par le serveur.
Un joli moment au café de Flore",38,5,,,,,,,[''],2025-12-01,
46,"Très mauvaise expérience !!!!
Nous nous sommes rendus au Café de Flore pour déjeuner en famille, mais l’accueil a été particulièrement décevant. La placeuse nous a immédiatement demandé de …",23,1,,,,,,,[''],2025-12-01,
47,"C’était mieux avant … faire la queue , déjeuner en terrasse quand il fait zéro degré …. Un truc de touriste … fini le temps ou le personnel venait vous serrer la main et taper la discute ! Tout fou le camp Simone !",416,3,,,,,,,[''],2026-01-01,
48,"Café légendaire à Saint-Germain-des-Prés, où Sartre, de Beauvoir et Ernest Hemingway ont pris place à différentes époques. Les prix sont élevés, les touristes nombreux, mais l'ambiance y est particulière. C'est l'endroit idéal pour boire …",1,5,,,,,,,[''],2026-01-01,
49,"Attrape touristes
Les serveurs sont froid er enchaînent les commandes sans moindre marque de respect. Le chocolat chaud n est pas à la hauteur de la qualité attendu.",83,2,,,,,,,[''],2026-01-01,
50,"Tout d'abord, je veux juste dire qu'il faut virer la femme en blazer noir aux cheveux châtain foncé parce que ma famille et moi voulons voir et découvrir toute l'histoire de cet endroit. Nous attendions juste dehors et elle n'était rien …",2,1,,,,,,,[''],2025-08-01,
51,"La qualité a énormément baissé.

Ils ne servent même pas le café avec un petit chocolat ou biscuit ce qui serait …",210,2,,,,,,,[''],2025-01-01,
52,"Personnel accueillant et chaleureux à la bonne humeur et au sens de l'humour 😊
Le café était charmant tout comme la cuisine qui n'était pas en reste! La vaisselle, le thé, tout comme le mobilier (dehors comme dedans) sont ravissants.
Le repas était très agréable! ❁ …",9,5,,,,,,,[''],2025-01-01,
53,"Bonne cuisine, j'ai pris une salade niçoise bien servi et une tarte tatie excellente....bonne ambiance...serveur aimable et souriant....",32,5,,,,,,,[''],2025-05-01,
54,"Un lieu mythique, un café délicieux servi sur un joli set de table papier reproduction d'un dessin de Sempé. What else?",16,5,,,,,,,[''],2026-01-01,
55,"Lieu charmant et emblématique parisien.
Il faut parfois faire la queue pour découvrir ce lieu.
Très bruyant, et servi au pas de charge. …",54,4,,,,,,,[''],2025-01-01,
56,"Un lieu mythique au cœur de Saint-Germain-des-Prés! Le Café de Flore mêle à merveille charme d’antan et élégance parisienne. Le café crème est délicieux, les viennoiseries fondent en bouche, et le personnel est toujours accueillant malgré …",5,5,,,,,,,[''],2025-07-01,
57,"Honteuse façon de traiter la clientèle. Au delà de leur attitude aigris, ils sont malpolis. On a laissé passer 3 serveurs dans les escaliers, pas un d’eux ne nous a dit merci. Il devrait tous aller prendre une petite leçon de savoir vivre.",12,2,,,,,,,[''],2025-12-01,
58,"☕️ Le Café de Flore est un lieu typiquement parisien et emblématique de la ville. L'ambiance y est très classe et chic, ce qui en fait un endroit agréable pour prendre un café ou un verre entre amis. 🍸 …",133,4,,,,,,,[''],2024-01-01,
59,"Le Café de Flore est une véritable institution parisienne : l’ambiance art déco, les miroirs, les banquettes rouges… tout est d’un charme intemporel. Le décor est chargé d’histoire, et on ressent immédiatement le poids de la littérature et de la philosophie qui ont marqué le lieu.  ￼",3,5,,,,,,,[''],2025-12-01,
60,"Un café historique et très atmosphérique. Un endroit idéal pour ressentir l'esprit de Paris. Les croissants sont frais, le café est fort, le service est rapide, mais les prix sont élevés : vous payez pour la légende.",1,5,,,,,,,[''],2026-01-01,
61,"J ai consommé un cappuccino des plus décevant ce matin, indigne d un établissement de ce rang. Bien présenté, ce n était qu un lait chaud sans odeur ni saveur, totalement insipide. A déconseiller. Le service n est pas particulièrement aimable ni attentif. Mais où est donc passé Jean-Paul… ?",6,1,,,,,,,[''],2025-11-01,
62,"L'icône Saint-Germain-des-Prés, où Sartre et de Beauvoir avaient leurs habitudes. Les prix sont élevés, mais l'ambiance en vaut la peine. Idéal pour prendre un café et un croissant le matin tout en observant l'effervescence du boulevard parisien.",1,5,,,,,,,[''],2026-01-01,
63,"Un café qui me rappelle une très bonne chanson ""Et mon père..."" Un café avec un gâteau et un moment magique pour sceller ma semaine de vacances à Paris... Une soirée pour saluer ma ville préférée malgré sa dégradation, l'insécurité qui y …",363,3,,,,,,,[''],2025-04-01,
64,"Avis sur le Café de Flore – Une adresse mythique à Paris

Situé dans le quartier de Saint-Germain-des-Prés, le Café de Flore est une …",82,5,,,,,,,[''],2025-01-01,
65,"Enfin !
On voulais y boire un café, nous l'avons fait et en plus, une soupa à l'oignon savoureuse et gourmande. …",18,5,,,,,,,[''],2025-11-01,
66,"je voulais voir j'ai vu....
serveurs typiques parisiens:
pas souriants …",20,2,,,,,,,[''],2026-01-01,
67,"Cuisine assez bonne, j’ai goûté un pain aux raisins et un chocolat chaud mais le prix est insensé, 15,50€ pour ça c’est tout bonnement honteux.
De plus le serveur oblige de prendre au moins 1 consommation par personne pour …",4,1,,,,,,,[''],2025-09-01,
